parameter,baseline,swing,n_regimes,regime_start,regime_end,n_valid,regime,range
f_pinhole,15,0.06644386851310527,1,oxide,oxide,9,oxide,global
f_pinhole,16,0.02767847591355795,1,oxide,oxide,9,oxide,global
f_pinhole,17,0.757910769720961,2,oxide,defect,9,oxide,global
f_pinhole,18,0.018180889412264124,1,oxide,oxide,9,oxide,global
f_pinhole,19,0.15246470426413714,1,oxide,oxide,9,oxide,global
f_pinhole,20,0.12471707113237646,1,oxide,oxide,9,oxide,global
f_pinhole,21,1.1678408710998416,2,oxide,defect,9,oxide,global
f_pinhole,22,0.21690200132467688,1,oxide,oxide,9,oxide,global
f_pinhole,23,0.8709847589128797,2,oxide,defect,9,oxide,global
f_pinhole,24,1.5026848632505465,2,oxide,defect,9,oxide,global
f_crack,0,0.024341779215835874,1,oxide,oxide,9,oxide,global
f_crack,1,0.05349790684753013,1,oxide,oxide,9,oxide,global
f_crack,2,0.28781551133998085,2,oxide,defect,9,oxide,global
f_crack,3,0.06811352830188608,1,oxide,oxide,9,oxide,global
f_crack,4,0.15263588641412904,1,oxide,oxide,9,oxide,global
f_crack,5,0.07491489507757444,1,oxide,oxide,9,oxide,global
f_crack,6,0.02382696044116979,1,oxide,oxide,9,oxide,global
f_crack,7,0.08590244608169575,1,oxide,oxide,9,oxide,global
f_crack,8,0.047698796348773866,1,oxide,oxide,9,oxide,global
f_crack,9,0.04141902853717449,1,oxide,oxide,9,oxide,global
f_crack,10,0.06909035666901094,1,oxide,oxide,9,oxide,global
f_crack,11,0.03537557102566382,1,oxide,oxide,9,oxide,global
f_crack,12,0.04034251914897806,1,oxide,oxide,9,oxide,global
f_crack,13,0.043582141858600563,1,oxide,oxide,9,oxide,global
f_crack,14,0.04319419940944483,1,oxide,oxide,9,oxide,global
f_crack,15,0.02374051820603912,1,oxide,oxide,9,oxide,global
f_crack,16,0.025300799760066182,1,oxide,oxide,9,oxide,global
f_crack,17,0.1735217337028322,1,oxide,oxide,9,oxide,global
f_crack,18,0.010065227952571539,1,oxide,oxide,9,oxide,global
f_crack,19,0.04111088282044876,1,oxide,oxide,9,oxide,global
f_crack,20,0.11737012391488999,1,oxide,oxide,9,oxide,global
f_crack,21,0.06928033903536686,1,oxide,oxide,9,oxide,global
f_crack,22,0.04364302705334891,1,oxide,oxide,9,oxide,global
f_crack,23,0.16500970560061054,1,oxide,oxide,9,oxide,global
f_crack,24,0.06484540229447125,1,oxide,oxide,9,oxide,global
f_gb_defect,0,0.034257812011506066,1,oxide,oxide,9,oxide,global
f_gb_defect,1,0.38987325359940095,2,oxide,defect,9,oxide,global
f_gb_defect,2,0.6487150041108972,2,oxide,defect,9,oxide,global
f_gb_defect,3,0.0576156115644916,1,oxide,oxide,9,oxide,global
f_gb_defect,4,0.13093918547516345,1,oxide,oxide,9,oxide,global
f_gb_defect,5,0.09051345283707327,1,oxide,oxide,9,oxide,global
f_gb_defect,6,0.025149361305451947,1,oxide,oxide,9,oxide,global
f_gb_defect,7,0.17050696539614904,1,oxide,oxide,9,oxide,global
f_gb_defect,8,0.926586676389777,2,oxide,defect,9,oxide,global
f_gb_defect,9,0.2112247275381341,1,oxide,oxide,9,oxide,global
f_gb_defect,10,0.7941644963389715,2,oxide,defect,9,oxide,global
f_gb_defect,11,0.09360738373345716,1,oxide,oxide,9,oxide,global
f_gb_defect,12,0.10606635956940146,1,oxide,oxide,9,oxide,global
f_gb_defect,13,0.2825378636438594,2,oxide,defect,9,oxide,global
f_gb_defect,14,0.1875554707631034,1,oxide,oxide,9,oxide,global
f_gb_defect,15,0.06035308564671324,1,oxide,oxide,9,oxide,global
f_gb_defect,16,0.027247604834694874,1,oxide,oxide,9,oxide,global
f_gb_defect,17,0.26755434753520313,2,oxide,defect,9,oxide,global
f_gb_defect,18,0.017802800633628466,1,oxide,oxide,9,oxide,global
f_gb_defect,19,0.1466942127100078,1,oxide,oxide,9,oxide,global
f_gb_defect,20,0.1199738497875319,1,oxide,oxide,9,oxide,global
f_gb_defect,21,0.7532578188859512,2,oxide,defect,9,oxide,global
f_gb_defect,22,0.20666017631039288,1,oxide,oxide,9,oxide,global
f_gb_defect,23,0.6771953600149195,2,oxide,defect,9,oxide,global
f_gb_defect,24,0.9922204606666789,2,oxide,defect,9,oxide,global
crack_thickness_factor,0,2.1054762443718595e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,1,0.00015501932683518343,1,oxide,oxide,9,oxide,global
crack_thickness_factor,2,0.00013008636562521388,1,oxide,oxide,9,oxide,global
crack_thickness_factor,3,2.5899181026720505e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,4,7.923908788488243e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,5,7.75179893708881e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,6,4.143924293015882e-07,1,oxide,oxide,9,oxide,global
crack_thickness_factor,7,2.716349604232873e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,8,0.00016116304264434357,1,oxide,oxide,9,oxide,global
crack_thickness_factor,9,1.0665799517654642e-05,1,oxide,oxide,9,oxide,global
crack_thickness_factor,10,0.0002857380178841062,1,oxide,oxide,9,oxide,global
crack_thickness_factor,11,6.445670285570917e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,12,8.001868878669824e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,13,9.260728635155164e-05,1,oxide,oxide,9,oxide,global
crack_thickness_factor,14,4.058100985467634e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,15,3.1249874737181763e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,16,1.5503581505629523e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,17,1.5461149031223444e-05,1,oxide,oxide,9,oxide,global
crack_thickness_factor,18,1.984085190467412e-07,1,oxide,oxide,9,oxide,global
crack_thickness_factor,19,3.382354498471298e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,20,1.5506669251867026e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,21,0.00029679848352419884,1,oxide,oxide,9,oxide,global
crack_thickness_factor,22,1.8193558070959267e-06,1,oxide,oxide,9,oxide,global
crack_thickness_factor,23,0.000141365716890786,1,oxide,oxide,9,oxide,global
crack_thickness_factor,24,0.00023928157594597458,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,0,1.2504286375120377e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,1,7.486669782681414e-05,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,2,9.996932890331413e-05,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,3,1.79026037487745e-07,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,4,2.7232558387298964e-05,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,5,8.25320658058419e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,6,2.461511334682822e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,7,7.011902917087412e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,8,0.0001998468389325291,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,9,2.106933360022529e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,10,0.00020789043334444316,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,11,9.12731659041664e-06,1,oxide,oxide,9,oxide,global
gb_diffusivity_factor,12,7.459332828371364e-06,1,oxide,oxide,9,oxide,global
