regime,metric,parameter,pawn_median,delta,S1_givendata,n,floor,delta_over_floor,temperature_K
metal,permeability,trap_dislocation_E_b,0.06368426727042398,0.0406864815156547,0.008241351933685468,1494,0.08455694896266834,0.48117253537160704,1273.0
metal,permeability,trap_dislocation_N_T,0.061587468442000665,0.07346810496482721,0.0029353120418656974,1494,0.08455694896266834,0.8688594594072118,1273.0
metal,permeability,trap_gb_E_b,0.07052819780239526,0.06863344418618597,0.011799944051493974,1494,0.08455694896266834,0.8116830731024537,1273.0
metal,permeability,trap_gb_N_T,0.05974753600531881,0.044324043356562794,0.009987336303301557,1494,0.08455694896266834,0.5241916116927509,1273.0
metal,permeability,trap_vacancy_E_b,0.06518018382253848,0.08257254636335538,0.009543485986447888,1494,0.08455694896266834,0.9765317620413544,1273.0
metal,permeability,trap_vacancy_N_T,0.06783707537083457,0.06993412118436172,0.010592971232709266,1494,0.08455694896266834,0.8270653333913153,1273.0
metal,permeability,trap_carbide_E_b,0.06780365309111164,0.07874403055950495,0.014514373646138683,1494,0.08455694896266834,0.9312543974862458,1273.0
metal,permeability,trap_carbide_N_T,0.060784525125108936,0.05901565750975434,0.014068564860126347,1494,0.08455694896266834,0.6979397699863744,1273.0
metal,PRF,D_ref,0.07751812619605941,0.14041078036764174,0.03866655817860131,1494,0.10655720207815053,1.3177033333200934,1273.0
metal,PRF,E_D,0.07299866131191432,0.12112084566149099,0.012681643259995878,1494,0.10655720207815053,1.1366744180525619,1273.0
metal,PRF,K_s_ref,0.10142359145755281,0.11880591171551715,0.016668256261693673,1494,0.10655720207815053,1.1149496176559068,1273.0
metal,PRF,H_s,0.05994896813203597,0.08211480320812217,0.0022074316713696107,1494,0.10655720207815053,0.7706171108725062,1273.0
metal,PRF,D_ox_ref,0.09184837785145054,0.12457336588105873,0.03591907902478457,1494,0.10655720207815053,1.169075045623804,1273.0
metal,PRF,E_D_ox,0.06165377393241871,0.10075743637712309,0.025478745530998017,1494,0.10655720207815053,0.9455713402011643,1273.0
metal,PRF,K_ox_ref,0.08174622427068452,0.09348967628455376,0.013978992720289601,1494,0.10655720207815053,0.877366095029289,1273.0
metal,PRF,H_sol_ox,0.4245842430123177,4.845912182757859,0.2791069205904276,1494,0.10655720207815053,45.477096697826205,1273.0
metal,PRF,metal_thickness,0.08021499869724985,0.09034198763874615,0.018271767120938743,1494,0.10655720207815053,0.8478261992322967,1273.0
metal,PRF,oxide_thickness,0.09397141137255959,0.15199984994435262,0.018926334752401422,1494,0.10655720207815053,1.4264624725494746,1273.0
metal,PRF,P_upstream,0.06882518889877182,0.11801695766934442,0.006469613178397224,1494,0.10655720207815053,1.1075455752187369,1273.0
metal,PRF,f_pinhole,0.06026567118586201,0.11174841634147842,0.013627531075027928,1494,0.10655720207815053,1.0487176292365539,1273.0
metal,PRF,f_crack,0.05678867595662291,0.09654325342309449,0.010301043413131896,1494,0.10655720207815053,0.9060227890770661,1273.0
metal,PRF,f_gb_defect,0.07200839150786592,0.08937749922924927,0.011818779225075437,1494,0.10655720207815053,0.8387748316035792,1273.0
metal,PRF,crack_thickness_factor,0.06538637772566777,0.1199290313223748,0.015176500649763697,1494,0.10655720207815053,1.125489680504347,1273.0
metal,PRF,gb_diffusivity_factor,0.061367438433824785,0.1057713475442516,0.005046042990164975,1494,0.10655720207815053,0.9926250453411627,1273.0
metal,PRF,grain_size,0.065602993630001,0.10304580090717436,0.00904872008619137,1494,0.10655720207815053,0.96704679643896,1273.0
metal,PRF,gb_thickness,0.06876885618536788,0.10900022442233823,0.013119166955361049,1494,0.10655720207815053,1.0229268627229529,1273.0
metal,PRF,lattice_density,0.048608303459924715,0.10660208367946934,0.009031324482551686,1494,0.10655720207815053,1.0004211972578436,1273.0
metal,PRF,trap_dislocation_E_b,0.06238133743025794,0.1055029674947605,0.007933128750473155,1494,0.10655720207815053,0.9901063976640749,1273.0
metal,PRF,trap_dislocation_N_T,0.06468603721373188,0.08017133765824103,0.012387300310650549,1494,0.10655720207815053,0.752378404225012,1273.0
metal,PRF,trap_gb_E_b,0.07466779871162502,0.09268242348880054,0.005503800474992353,1494,0.10655720207815053,0.8697903255833047,1273.0
metal,PRF,trap_gb_N_T,0.05725811523498918,0.12965842746011724,0.01640668832041393,1494,0.10655720207815053,1.216796471110643,1273.0
metal,PRF,trap_vacancy_E_b,0.0622938285580802,0.12065467859479705,0.012108080978510537,1494,0.10655720207815053,1.132299612243077,1273.0
metal,PRF,trap_vacancy_N_T,0.09023278797516689,0.12958961673899197,0.016130328556800355,1494,0.10655720207815053,1.216150707898178,1273.0
metal,PRF,trap_carbide_E_b,0.07480256596857227,0.0954256571845458,0.03001745419162133,1494,0.10655720207815053,0.8955345610009476,1273.0
