4.666667 3.666667 0.441774 Mo
0.666667 4.666667 0.441774 Ni
1.666667 4.666667 0.441774 Mo
2.666667 4.666667 0.441774 Ni
3.666667 4.666667 0.441774 Ni
4.666667 4.666667 0.441774 Ni
0.666667 5.666667 0.441774 Mo
1.666667 5.666667 0.441774 Mo
2.666667 5.666667 0.441774 Ni
3.666667 5.666667 0.441774 Ni
4.666667 5.666667 0.441774 Ni
4.666666 5.666666 0.558226 Ni
0.666666 5.666666 0.558226 Ni
1.666666 5.666666 0.558226 Ni
2.666666 5.666666 0.558226 Cr
3.666666 5.666666 0.558226 Ni
4.666666 0.666666 0.558226 Ni
0.666666 0.666666 0.558226 C
1.666666 0.666666 0.558226 Ni
2.666666 0.666666 0.558226 Ni
3.666666 0.666666 0.558226 Ni
4.666666 1.666666 0.558226 Ni
0.666666 1.666666 0.558226 Ni
1.666666 1.666666 0.558226 Ni
2.666666 1.666666 0.558226 Ni
3.666666 1.666666 0.558226 Ni
4.666666 2.666666 0.558226 Ni
0.666666 2.666666 0.558226 C
1.666666 2.666666 0.558226 Cr
2.666666 2.666666 0.558226 Ni
3.666666 2.666666 0.558226 Ni
4.666666 3.666666 0.558226 Ni
0.666666 3.666666 0.558226 Ni
1.666666 3.666666 0.558226 Ni
2.666666 3.666666 0.558226 Ni
3.666666 3.666666 0.558226 Ni
4.666666 4.666666 0.558226 Al
0.666666 4.666666 0.558226 Cr
1.666666 4.666666 0.558226 B
2.666666 4.666666 0.558226 Ni
3.666666 4.666666 0.558226 Ni
5.000000 6.000000 0.480591 Ni
1.000000 6.000000 0.480591 C
2.000000 6.000000 0.480591 Ni
3.000000 6.000000 0.480591 B
4.000000 6.000000 0.480591 Ni
5.000000 1.000000 0.480591 Cr
1.000000 1.000000 0.480591 Ni
2.000000 1.000000 0.480591 Ni
3.000000 1.000000 0.480591 Ni
4.000000 1.000000 0.480591 Ni
5.000000 2.000000 0.480591 Ni
1.000000 2.000000 0.480591 Fe
2.000000 2.000000 0.480591 Ni
3.000000 2.000000 0.480591 Ni
4.000000 2.000000 0.480591 Al
5.000000 3.000000 0.480591 Cr
1.000000 3.000000 0.480591 Ni
2.000000 3.000000 0.480591 Ni
3.000000 3.000000 0.480591 Ni
4.000000 3.000000 0.480591 Ni
5.000000 4.000000 0.480591 Ni
