regime,metric,parameter,pawn_median,delta,S1_givendata,n
surface,permeability,trap_carbide_E_b,0.05233333333333333,0.05299193357387897,0.00831713675665007,1500
surface,permeability,trap_carbide_N_T,0.07096420581655481,0.07752368396041494,0.010053245062532995,1500
surface,permeability,temperature,0.29200000000000004,0.3341896383919492,0.5764210521504546,1500
surface,permeability,k_diss_ref,0.095,0.0894976269450155,0.027383806984683626,1500
surface,permeability,E_diss,0.063,0.06995283932498426,0.016994172257653553,1500
surface,permeability,K_eq_ref,0.057666666666666665,0.042384195646610605,0.008283001196735052,1500
surface,permeability,H_eq,0.06133333333333334,0.051360911566612925,0.006768293261770726,1500
surface,permeability,k_diss_metal_ref,0.06266666666666666,0.05815488254650762,0.01459477017262948,1500
surface,permeability,E_diss_metal,0.05700447427293065,0.06873626958828978,0.006914981198248462,1500
surface,permeability,K_eq_metal_ref,0.06166666666666666,0.057770106672275785,0.013254471626817721,1500
surface,permeability,H_eq_metal,0.05866666666666667,0.06210356412781335,0.0077670358730234255,1500
surface,theta,D_ref,0.07855928411633109,0.09472068529445873,0.0032669962665463387,1500
surface,theta,E_D,0.05996420581655481,0.08226753695030899,0.016571451754443123,1500
surface,theta,K_s_ref,0.08346085011185682,0.08943997956925133,0.014301998591631681,1500
surface,theta,H_s,0.056999999999999995,0.08589020364559329,0.016470967458190343,1500
surface,theta,D_ox_ref,0.07100000000000001,0.08914786021789695,0.025988431781650587,1500
surface,theta,E_D_ox,0.058666666666666666,0.09022312972159646,0.008512401156704126,1500
surface,theta,K_ox_ref,0.06166666666666667,0.09565857763319553,0.005265934491831294,1500
surface,theta,H_sol_ox,0.14200000000000002,0.1447227629361664,0.1752220609407585,1500
surface,theta,metal_thickness,0.10066666666666667,0.0921525885400885,0.0055917381119263915,1500
surface,theta,oxide_thickness,0.081,0.10166157987690959,0.01755810110528518,1500
surface,theta,P_upstream,0.11699999999999999,0.12456598262677092,0.063884240338405,1500
surface,theta,f_pinhole,0.09483221476510068,0.09456851018595444,0.013569246533518745,1500
surface,theta,f_crack,0.07266666666666667,0.08267361892188477,0.015650226051751096,1500
surface,theta,f_gb_defect,0.06066666666666666,0.07658391338025362,0.004612048864071784,1500
surface,theta,crack_thickness_factor,0.058333333333333334,0.08186718108779985,0.004044496435818829,1500
surface,theta,gb_diffusivity_factor,0.07233333333333333,0.08331078555715904,0.004058604251326317,1500
surface,theta,grain_size,0.05133333333333333,0.09868498251313618,0.008674570677990628,1500
surface,theta,gb_thickness,0.06323713646532439,0.07038193400376017,0.008865835027425856,1500
surface,theta,lattice_density,0.060333333333333336,0.08436018517762726,0.019612715466749395,1500
surface,theta,trap_dislocation_E_b,0.06101118568232662,0.09539068485584652,0.005963893893582629,1500
surface,theta,trap_dislocation_N_T,0.048742729306487695,0.08012323280573183,0.009808668377024871,1500
surface,theta,trap_gb_E_b,0.059,0.08074381320751131,0.0027116117382007796,1500
